DATE,LCEAMN01MXQ661S
1980-01-01,0.0613372557693576
1980-04-01,0.0647515678154513
1980-07-01,0.0696325417232157
1980-10-01,0.0750877965125238
1981-01-01,0.0804541293101818
1981-04-01,0.0875947893135219
1981-07-01,0.0941627752319755
1981-10-01,0.101595805377771
1982-01-01,0.111757019585558
1982-04-01,0.143127300628271
1982-07-01,0.151963852346187
1982-10-01,0.16544417811278
1983-01-01,0.18813734336257
1983-04-01,0.20714184796271
1983-07-01,0.235158228633935
1983-10-01,0.254060597491796
1984-01-01,0.286471660293618
1984-04-01,0.321083892041663
1984-07-01,0.361830297165777
1984-10-01,0.400321455140889
1985-01-01,0.454925178226486
1985-04-01,0.508195537341029
1985-07-01,0.574320628999378
1985-10-01,0.643447261886044
1986-01-01,0.729065693734864
1986-04-01,0.830307085917168
1986-07-01,1.01276098902321
1986-10-01,1.21661780770438
1987-01-01,1.47474651243999
1987-04-01,1.83596862132343
1987-07-01,2.30825406651464
1987-10-01,3.07094428992309
1988-01-01,4.02382169214798
1988-04-01,4.46260030006541
1988-07-01,4.81048017997673
1988-10-01,5.11097984092055
1989-01-01,5.44020180692219
1989-04-01,5.77331972354442
1989-07-01,6.15052620524558
1989-10-01,6.71315924196011
1990-01-01,7.07067806741511
1990-04-01,7.59134911950511
1990-07-01,8.1498491064049
1990-10-01,8.77152574021669
1991-01-01,9.33497680945665
1991-04-01,9.92496555385632
1991-07-01,10.4789391333444
1991-10-01,11.2754210859982
1992-01-01,11.7885392391053
1992-04-01,12.5923865336296
1992-07-01,13.1785019327832
1992-10-01,13.773837759102
1993-01-01,14.1204677514676
1993-04-01,14.5112911483116
1993-07-01,15.0523930948166
1993-10-01,15.4884497526746
1994-01-01,15.9330412510927
1994-04-01,16.1626942353663
1994-07-01,16.5858614459939
1994-10-01,17.2870446704498
1995-01-01,17.8456384903749
1995-04-01,18.9553747213098
1995-07-01,19.977537907546
1995-10-01,20.7686179901925
1996-01-01,21.9878135027781
1996-04-01,22.9175111255857
1996-07-01,24.1067241105757
1996-10-01,25.314280322241
1997-01-01,26.4706046696403
1997-04-01,27.8093207014024
1997-07-01,28.7508532183729
1997-10-01,30.0826094356673
1998-01-01,31.5632932124451
1998-04-01,32.8027253859375
1998-07-01,34.5065137197044
1998-10-01,35.8956718709138
1999-01-01,37.6956130124269
1999-04-01,39.0667160858767
1999-07-01,40.4398153547037
1999-10-01,42.1118565897587
2000-01-01,43.5778684004443
2000-04-01,45.5244157995263
2000-07-01,47.0642121635894
2000-10-01,48.3372839973974
2001-01-01,50.2302944786324
2001-04-01,51.5244850493148
2001-07-01,53.0132542961953
2001-10-01,54.6420706381028
2002-01-01,54.7757640259256
2002-04-01,55.8484383713151
2002-07-01,56.5080290257651
2002-10-01,57.5184359873095
2003-01-01,58.2995779511766
2003-04-01,59.0530833882521
2003-07-01,59.9695724684154
2003-10-01,60.6325961182413
2004-01-01,61.3372390164839
2004-04-01,61.9632137603107
2004-07-01,62.7845701689391
2004-10-01,63.4290936781115
2005-01-01,63.9061416998106
2005-04-01,64.4073880333706
2005-07-01,65.0556397484328
2005-10-01,66.1175077761507
2006-01-01,66.7393157692132
2006-04-01,67.9590732720997
2006-07-01,68.4862596937502
2006-10-01,69.8862353833379
2007-01-01,70.6427005494246
2007-04-01,71.3413162306516
2007-07-01,72.3148590105843
2007-10-01,72.7160997722195
2008-01-01,74.0165351133712
2008-04-01,75.5150519001221
2008-07-01,76.4640777456681
2008-10-01,77.7463035706227
2009-01-01,78.3318201502594
2009-04-01,79.1623937781764
2009-07-01,80.0838128461194
2009-10-01,80.4517705598197
2010-01-01,81.5812307570197
2010-04-01,81.8163897151794
2010-07-01,82.3305714541935
2010-10-01,82.7417252863749
2011-01-01,83.7413120961623
2011-04-01,84.4529621806588
2011-07-01,85.7584846612003
2011-10-01,86.865979186102
2012-01-01,87.6898973287888
2012-04-01,88.5177282360037
2012-07-01,89.2907357396869
2012-10-01,89.5091182338706
2013-01-01,90.825673187971
2013-04-01,91.6250162084919
2013-07-01,92.516601994542
2013-10-01,94.0104255277408
2014-01-01,94.831240871016
2014-04-01,96.0903993082157
2014-07-01,97.3004038967739
2014-10-01,97.8311992136297
2015-01-01,98.8998815146394
2015-04-01,99.4413629552807
2015-07-01,100.262437148848
2015-10-01,101.734654788802
2016-01-01,102.472978441262
2016-04-01,104.414683095446
2016-07-01,105.99726383127
2016-10-01,107.025858011878
2017-01-01,109.30758583324
2017-04-01,110.896473135096
2017-07-01,112.339642314678
2017-10-01,114.188182087622
2018-01-01,115.453895057313
2018-04-01,117.505410499971
2018-07-01,119.06093507173
2018-10-01,120.76981986309
2019-01-01,122.995648605552
2019-04-01,125.594320391544
2019-07-01,126.250116048792
2019-10-01,127.417763884386
2020-01-01,128.605204617508
2020-04-01,128.177012892641
2020-07-01,132.327991687931
2020-10-01,134.633944726699
2021-01-01,135.994380476617
2021-04-01,137.657961009447
2021-07-01,138.191996970342
2021-10-01,140.822764105454
2022-01-01,143.560200080656
2022-04-01,147.276919110044
2022-07-01,150.97590006116
2022-10-01,154.478991209363
2023-01-01,159.49478055568
