cpi,Y,Q
0.00996026991356929,1957,1
0.0107099934872986,1957,2
0.0112758906078224,1957,3
0.0116423420340756,1957,4
0.0120748748650629,1958,1
0.0120868896659237,1958,2
0.0122250598758223,1958,3
0.0124893854947591,1958,4
0.0124653558930376,1959,1
0.0125314372977717,1959,2
0.0125374446982021,1959,3
0.0126095335033666,1959,4
0.0126425742057278,1960,1
0.0129375375669014,1960,2
0.0134733976852313,1960,3
0.0135611057315208,1960,4
0.0134421592030232,1961,1
0.013341835615854,1961,2
0.01334303709588,1961,3
0.0133340259952705,1961,4
0.0134613828843705,1962,1
0.013486013226105,1962,2
0.0135238598488824,1962,3
0.0136307915764831,1962,4
0.0136091649349638,1963,1
0.0135911427336366,1963,2
0.0136157730754492,1963,3
0.0136073627148587,1963,4
0.01388009869438,1964,1
0.0138422520716505,1964,2
0.0139179453170793,1964,3
0.014055514786923,1964,4
0.0141708568752102,1965,1
0.0144634172761457,1965,2
0.0144315780539188,1965,3
0.0146172067271695,1965,4
0.0148088428009286,1966,1
0.0149434085705211,1966,2
0.0151266342836897,1966,3
0.0152359689714986,1966,4
0.0152804237347134,1967,1
0.0154348139257501,1967,2
0.015559767854684,1967,3
0.0156534833014099,1967,4
0.0156991395446868,1968,1
0.0157640194693169,1968,2
0.0158961822788334,1968,3
0.0160145280672818,1968,4
0.0158385112346897,1969,1
0.0159297435921654,1969,2
0.0160900666031175,1969,3
0.0164087554727608,1969,4
0.0166316392417111,1970,1
0.016742434039882,1970,2
0.01696987692918,1970,3
0.0171386733650014,1970,4
0.0175062365496868,1971,1
0.0177160923143766,1971,2
0.0178959596021977,1971,3
0.018054979358628,1971,4
0.0182733040072307,1972,1
0.0185444127344405,1972,2
0.018829212445563,1972,3
0.0190449260441657,1972,4
0.0195708550875424,1973,1
0.0202492876147409,1973,2
0.0213480719461886,1973,3
0.022547865314503,1973,4
0.0244736668114929,1974,1
0.0253326296061647,1974,2
0.0262163451548357,1974,3
0.0276044837767971,1974,4
0.0285214436681629,1975,1
0.0293601946653569,1975,2
0.0303071294107219,1975,3
0.0309249492502699,1975,4
0.0322687772184934,1976,1
0.033104921706644,1976,2
0.034150917418528,1976,3
0.0384385158119739,1976,4
0.0417505124015339,1977,1
0.0436117914473082,1977,2
0.0454717763204738,1977,3
0.047226828770338,1977,4
0.0495358370472303,1978,1
0.0512368021639656,1978,2
0.0533046811086037,1978,3
0.0550682024423807,1978,4
0.0583547742163762,1979,1
0.0604330837381445,1979,2
0.062762944087384,1979,3
0.0656408978887822,1979,4
0.0715115055123579,1980,1
0.0756159762112003,1980,2
0.08056180441628,1980,3
0.0846415087382535,1980,4
0.0915033663018886,1981,1
0.0970676682442555,1981,2
0.102199230652982,1981,3
0.108806272441407,1981,4
0.121517876474358,1982,1
0.140070090572102,1982,2
0.169272600522246,1982,3
0.204120173326494,1982,4
0.258662464889324,1983,1
0.300740148667284,1983,2
0.339946994322715,1983,3
0.382517371883269,1983,4
0.447404234859724,1984,1
0.504777540356389,1984,2
0.55518728902716,1984,3
0.613464562738582,1984,4
0.713017859763638,1985,1
0.782315490038231,1985,2
0.8650031750368,1985,3
0.985245614889106,1985,4
1.18833812434519,1986,1
1.38471932711016,1986,2
1.65639381209304,1986,3
2.0011373279704,1986,4
2.48841692810467,1987,1
3.10604968024401,1987,2
3.87932734992684,1987,3
4.970416576453,1987,4
6.9038782129992,1988,1
7.69526022223805,1988,2
8.04382313664574,1988,3
8.29108593887364,1988,4
8.75912051117366,1989,1
9.11356668885075,1989,2
9.41016698368598,1989,3
9.84043941564792,1989,4
10.8167704971512,1990,1
11.4056326569609,1990,2
12.0420481675606,1990,3
12.7528209330104,1990,4
13.6865110704887,1991,1
14.1817614116054,1991,2
14.5686826939424,1991,3
15.2355403229674,1991,4
16.0611952015531,1992,1
16.4868281382369,1992,2
16.819139877445,1992,3
17.2491230504765,1992,4
17.8097495426349,1993,1
18.133138302278,1993,2
18.4337814107045,1993,3
18.7356778231308,1993,4
19.1023101117293,1994,1
19.3888944187648,1994,2
19.6784893799742,1994,3
20.035522086486,1994,4
21.9688388665191,1995,1
25.9362362518,1995,2
27.8761192549634,1995,3
29.7952773325622,1995,4
32.5149924220518,1996,1
34.7888082859015,1996,2
36.3888869715961,1996,3
38.1792680631985,1996,4
40.8056619552124,1997,1
42.195952990565,1997,2
43.3780865789669,1997,3
44.7542370757112,1997,4
47.04780610043,1998,1
48.5791256224743,1998,2
50.1507279698219,1998,3
52.6151686474925,1998,4
55.7984064148821,1999,1
57.2625833537979,1999,2
58.4138883883746,1999,3
59.822624789118,1999,4
61.6847575347183,2000,1
62.7266482219067,2000,2
63.684790047967,2000,3
65.1550518686218,2000,4
66.284206117286,2001,1
67.0397940367432,2001,2
67.495992151774,2001,3
68.5576314588749,2001,4
69.4294860291115,2002,1
70.2400785549151,2002,2
71.0395048686319,2002,3
72.2202080557295,2002,4
73.2058907830934,2003,1
73.5684044241268,2003,2
73.9299826281167,2003,3
75.089511334954,2003,4
76.3699566320488,2004,1
76.7223575629086,2004,2
77.471147670453,2004,3
79.0983494894512,2004,4
79.7299829187379,2005,1
80.1825936781167,2005,2
80.548876313063,2005,3
81.5498484410351,2005,4
82.6783306281342,2006,1
82.6886840090034,2006,2
83.4017095429836,2006,3
84.9298731002454,2006,4
86.068231867779,2007,1
85.9748334740424,2007,2
86.7266887272389,2007,3
88.1661628626771,2007,4
89.4183770330771,2008,1
90.2019826542726,2008,2
91.4796080173675,2008,3
93.6163551086124,2008,4
94.9403209330104,2009,1
95.5801871164708,2009,2
96.1784218105411,2009,3
97.3377143876393,2009,4
99.4530508688848,2010,1
99.3655420957568,2010,2
99.7085296237472,2010,3
101.472877411611,2010,4
102.897121178876,2011,1
102.640243809405,2011,2
103.067348016002,2011,3
105.024799979947,2011,4
106.890824325286,2012,1
106.607341491555,2012,2
107.794842490566,2012,3
109.342922683131,2012,4
110.831652573959,2013,1
111.357686059336,2013,2
111.502669719158,2013,3
113.335608655281,2013,4
115.439056912353,2014,1
115.351393746703,2014,2
116.126453287725,2014,3
118.075036763584,2014,4
118.980412674863,2015,1
118.738892820348,2015,2
119.16292279938,2015,3
120.760472172292,2015,4
122.185406164948,2016,1
121.777065190698,2016,2
122.480491142592,2016,3
124.677419530618,2016,4
128.268921075996,2017,1
129.20295950484,2017,2
130.420821339153,2017,3
132.898507986998,2017,4
135.074625171285,2018,1
135.104986006588,2018,2
136.827239127497,2018,3
139.29974454395,2018,4
140.616621935218,2019,1
140.798260196082,2019,2
141.359522422153,2019,3
143.395687326445,2019,4
145.389621335085,2020,1
144.702120517713,2020,2
146.865886300261,2020,3
148.444322787174,2020,4
151.187060526228,2021,1
153.314952752256,2021,2
155.38335844785,2021,3
158.821316630363,2021,4
162.176629404183,2022,1
165.234055430185,2022,2
168.61570575183,2022,3
171.535086699575,2022,4
174.268742525586,2023,1
